ID;Contex/Box;Blank Type;Completeness;Blade/Bladelet Type;Max. Length (mm);Max. Width (mm);Max. Thickness (mm);Platform Type;Platform width (mm);Platform depth (mm);Dorsal reduction;Bulb;Distal configuration;Product Type;Axiality;Longitudinal cross-section;Blank cross-section;Dorsal triangular scars smaller than obtained product;Dorsal hinged scars smaller than obtained product;Retouch;Cortex/natural surface (in general);Cortical piece (>50%);Other comments
1629;An2-10-2-1;Blade;Proximal;Type 2;n/a;27;15;Plain;8;13;Absent;Diffuse;n/a;Overpass;Off-axis right;Twisted;Triangular;Yes;Yes;None;1;0;Top-later portion with cortext, twisted, off-axis overshot to rejuvenate distal reduction convexities and to reestablish V-shape 
111;An2-10-4-2;Blade;Proximal;n/a;n/a;23;8;Plain;9;6;Absent;Diffuse;n/a;Lateral product;In-axis;Twisted;Side blade/débordant;No;No;None;1;0;Cortex on natural edge (ca. 20%)
175;An2-10-4-2;Blade;Proximal;n/a;n/a;16;4;Plain;10;3;Absent;Diffuse;n/a;Lateral product;n/a;Twisted;Trapezoidal;No;No;None;1;0;Small portion of cortex on the left side
207;An2-10-4-2;Blade;Proximal;n/a;n/a;15;4;Plain;12;4;Absent;Diffuse;n/a;Lateral product;In-axis;Twisted;Side blade/débordant;No;No;None;1;0;Tiny portion of cotext on left core-edge remnant
1260;ANS2-10-1-1;Blade;Proximal;n/a;n/a;22;8;Faceted;22;6;Absent;Pronounced;n/a;Target central product;Off-axis right;Twisted;Trapezoidal;Yes;No;Proximal right notch;1;0;Notched blade with small amout of cotext on top-right side
1578;An2-10-2-1;Blade;Proximal;n/a;n/a;22;8;Partially Faceted;13;5;Absent;Pronounced;n/a;Lateral product;In-axis;Straight;Triangular;Yes;No;None;1;1;Right-lateral cortex (ca. 50%)
S10;An2-10-2-1;Blade;Proximal;n/a;n/a;22;8;Punctiform;2;1;Flaking;Diffuse;n/a;Lateral product;In-axis;Slightly curved;Triangular;No;No;None;1;1;>80% dorsal cortex (fragment)
Tr-21-12;An2-10-4-2;Blade;Proximal;n/a;n/a;23;10;Cortical/Natural Surface;10;7;Absent;Diffuse;;Lateral product;Off-axis right;Twisted;Side blade/débordant;No;No;None;1;1;Large, off-axis side blade 50% natural surface egde remant (early product)
207;An2-10-4-2;Blade;Proximal;n/a;n/a;15;7;Plain;13;7;Absent;Diffuse;n/a;Lateral product;n/a;Twisted;Trapezoidal;No;No;None;1;1;50% right-lateral cortex cover
S49;An2-10-3-1 (wirklich IUP?);Bladelet;Proximal;n/a;n/a;11;3;Plain;6;2;Abrasion;Non-visible;n/a;Target central product;In-axis;Twisted;Triangular;No;No;None;0;0;Proximal bladelet fragment
